commentID,comment_text,hate_instigation_level,hatespeech_or_not
UgxgmXMTgbnAc1pWR0F4AaABAg,"<b>Pilot:</b> &quot;I&#39;m 42 years old and was force-vaccinated, and now I&#39;m having chest pains&quot;<br><b>Media:</b> &quot;We have no idea what happened&quot;",1.0,0
UgwXV1KXl6paMzfF3R14AaABAg,"Allegedly, the third pilot, who was only there for &quot;extra experience&quot; was also <b>the most experienced there, by far. So experienced, he had actually trained the other two pilots present</b><br><br>Hmmm....  🤔",0.0,0
UgzfOAYjYPJGjsJxt5d4AaABAg,Article 1 of the constitution of the people&#39;s Republic of China! All rights belong to the people! The XI jin ping  government violates the Constitution! What should we do?,0.0,0
Ugyp7kWbXUQGWj49QsN4AaABAg,Boeing is obviously creating shit planes. Its time to take a look at that company,1.0,0
UgzuDvs_NommE3MHtGF4AaABAg,"He can say apple’s and oranges, I’m not getting on a 737 , I will choose an airline with Air Bus",0.0,0
UgzuAVPKijtvtt86UVZ4AaABAg,"Here&#39;s my thought, when are we going to stop hearing ,&#39; this is the safest &quot; , ? Something&#39;s very wrong with this plane ? How many more crashes will we the world except ? My heart goes out to the people of this flight ! No lift control ? How many hours on the plane ? Maintenance on the plane ? Profit before safety ?  🤔 Just thinking as a human . Please don&#39;t blame the flight crew ,they didn&#39;t build the plane !",0.4,0
Ugyf4XXSVnQ6g-P_-mB4AaABAg,Holy shit that is intense,0.0,1
Ugw6UzLX97YbUxyps-Z4AaABAg,"Look like it was doing Flight 93, 9/11 imitation in Pennsylvania , just saying ???",0.0,0
UgxLR0l-MH6sfVCP6Yt4AaABAg,Plane infected by corona China will suffer more bcos of corona million people hve die no regret,0.0,1
UgznnhKvSBTtkAOyVyx4AaABAg,Suicide ?,0.5,0
Ugwnu6DPjQExTcb4NNx4AaABAg,That sudden steep nose dive of an intact and relatively new jet indicates system failure<br>1.Mcas system confusion-2 similar 737-800 max crashes not long ago-most likely. <br>2.Suicide<br>3.Hijacking. It&#39;s very scarry. I can&#39;t imagine the horror they all went through seconds before it hits the ground. I just wish they were all asleep when that happened.,0.0,0
UgxcSiqqVpBARzx64Ut4AaABAg,"That wasn&#39;t &quot;falling from the sky&quot;, that was rapidly flying to the ground.",0.0,0
UgyTng21QPw6kSVxSL54AaABAg,That’s good 132 less people to worry about 😂,1.0,0
UgwCj0UuS81elS1Mxr94AaABAg,"The safety record of this aircraft is truly amazing. Anything is possible, but it is highly unlikely there is a design defect that caused the crash.",1.0,0
UgyuxE7uG53aGEget-J4AaABAg,"The way it was angled at almost ninety degrees is really baffling, it first made me think of germanwings flight 9535.   I’ve read that both black boxes were recovered, so hopefully they weren’t too badly damaged and can provide data to show why the flight crashed that way. <br>For the sake of the grieving family and friends and the safety of future fliers, the public needs answers.",0.18181818181818182,0
UgxbyTHvcyodBY5lkQ54AaABAg,These are terrorist attacks not suicide. Why would the pilot want to kill hundreds of others that&#39;s not how suicide works.  These are home grown terrorists doing the deed right under everyone&#39;s nose. People who are suicidal are pretty out of it at that point and they are not going to fly a plane and then do it. They are going to do it when alone and by themselves as quickly as they can. Think!!<br><br>Have armed marshals in the cookie pit that way if the pilot has plans ro take the plane down he can be shot!,0.0,0
Ugwo8oNSPssRPbV9MRl4AaABAg,This was a pilot commiting suicide. That is a vertical dive which is super rare.,0.0,0
UgykZOqlr61M3O6din14AaABAg,made in U.S,1.0,0
UgxOUPOXFtCmS6ys6JN4AaABAg,something wrong with manufacturer...,0.0,0
Ugx7X9K8IewwI8SSHn94AaABAg,suicide，so obvious,1.0,0
Ugwsl3rQ0mE8hHtLHER4AaABAg,&quot;There is no greater love than if somebody gave their soul for their friends&quot; And when would you be giving your soul then Mr Putin? I believe alot of people would be saved if you were to disappear.,0.5,0
UgxvUpmyZXnaIOyEwPd4AaABAg,Adolf Hitler delivered similar speeches to huge crowds of German people during WW2&gt;!  Brainwashing them with propaganda and fear!,1.0,0
Ugxapyhtm_snmxyIk214AaABAg,And My Heart goes out to all the victims and martyrs for more than hundred thousand people died in some countries in the middle east for more than 20 years that have been killed by OUR HERO...... US AND NATO...........,1.0,0
Ugw88px76JYjRd8XrLt4AaABAg,"As a person from Russia , I say : Only you can help clear the brains of Russians , it is necessary to show real news on Russian television, and not Putin &#39;s propaganda , then the masses can stop the war . It is necessary to hack all television channels and other platforms , people have been brainwashed , there are a lot of gullible old grandmothers in Russia who believe Putin . All foreign news is specifically not allowed in Russia , you have to help and change it",1.0,0
UgwNuKxoyag2PA5H3BZ4AaABAg,Bin Laden knelt down to Putin and said &quot;you are my teacher&quot;,1.0,0
UgwUCBjx0jEhkxJt2kB4AaABAg,CNN FAKE NEWS,0.0,1
Ugw-iERI3fzPukpwB9N4AaABAg,"Discriminating  genocide from war in Vietnam and Iraq(Using of  napalm, orange factor),  Nagasaki and Hiroshima (genocide).double standards .Kanpur Massacre 1857,  American-Mexican war (war crimes, massacre ), Nangar Chel  August 16, 2007, 1879 Zulu massacre, Discriminating genocide   from war in Korea and Afghanistan .Destructiwe war in Serbia (operation Allied Force)",0.0,0
Ugx85RKclM52zHZJPtZ4AaABAg,GO AWAY FAKE NEWS,1.0,0
Ugxur2pyyy_qgst4zwx4AaABAg,GOD BLESS RUSSIA 🇷🇺,0.0,0
Ugwb3lUT2yHRDEsJ8oV4AaABAg,"He is quoting John 15:13 to support his actions? Wow…As a Christian, I don’t know what to do with that one.",0.0,0
UgwRINKIUEbcpYAgoSp4AaABAg,"How about 100,000 Iraqi civilians killed by the US:  <a href=""https://youtu.be/9uqpX1QkYFE"">https://youtu.be/9uqpX1QkYFE</a>",0.0,0
UgxizJ-ao2q1RrhoTJN4AaABAg,How is cnn still in business?,1.0,0
UgzCLeLblDRQHqhXV-h4AaABAg,"I can&#39;t believe that Russia Today / RT is banned on YouTube too. They had already banned it on cable TV and TATA SKY. Heights of curbing free speech and imposing anti Russia propoganda. Let people listen to all sides and form their own opinions. The most important question should be: WHO WOULD SANCTION THE USA FOR CREATING UNREST AND CAUSING HUMANITARIAN CRISIS BY BOMBING OR INVADING THE FOLLOWING COUNTRIES? 🤬<br><br>Afghanistan 1998, 2001-<br>Bosnia 1994, 1995<br>Cambodia 1969-70<br>China 1945-46<br>Congo 1964<br>Cuba 1959-1961<br>El Salvador 1980s<br>Korea 1950-53<br>Guatemala 1954, 1960, 1967-69<br>Indonesia 1958Laos 1964-73<br>Grenada 1983<br>Iraq 1991-2000s, 2015-<br>Iran 1987<br>Korea 1950-53<br>Kuwait 1991<br>Lebanon 1983, 1984<br>Libya 1986, 2011-<br>Nicaragua 1980s<br>Pakistan 2003, 2006-Palestine 2010<br>Panama 1989<br>Peru 1965<br>Somalia 1993, 2007-08, 2010-<br>Sudan 1998<br>Syria 2014-<br>Vietnam 1961-73<br>Yemen 2002, 2009-<br>Yugoslavia 1999",1.0,0
UgxoH-OQQQMRas05H014AaABAg,I wonder how many thousands of people he paid to come to this speech!,1.0,0
Ugzi9J7hBSB3s5f3oTZ4AaABAg,"Is Macedonia a country?<br><br><br><br><br><br><br><br><br><br>North Macedonia (Macedonia before February 2019), officially the Republic of North Macedonia, is  in Southeast Europe. It gained independence in 1991 as one of the successor states of Yugoslavia.",0.0,0
UgyJm_oeWx7JHZsdpFd4AaABAg,Is Putin really the bad guy here ??,1.0,0
Ugx2n26JwpDWthy2Gfl4AaABAg,It’s amazing how USA tells China not to assist Russia with weapons in Ukraine war but not the other hand the entire NATO and west is providing firepower to Ukraine.<br>Talk about equality,1.0,0
Ugyf3euf7ORaMgGB2KJ4AaABAg,"Love russia 🇷🇺 !<br>Proud people, greatest biggest and richest (ressources) country",0.3333333333333333,0
UgyAK2Hj_q8BOKNXWJB4AaABAg,My heart is with Ukraine 🇺🇦,1.0,0
UgwAMKtpMLyupuH2T814AaABAg,Nazi hitlers kids,0.0,1
UgztlWd68ZRqkPDmGCR4AaABAg,"Now let me get this straight, Russian civilians are chearing for the death of Ukrainians which are Russians? Yay. How fucking stupid!",1.0,1
