commentID,comment_text,hate_instigation_level,hatespeech_or_not
UgwnLBe-PbGfo6gaXDZ4AaABAg,"국힘당 또 내로남불●윤석열이 민주당쪽일때..""거짓말쟁이 범죄자라며 임명불가"" 검찰에 고발●윤석열이 국힘쪽일때 ""이순신의 환생""..""자랑스런 우리당의 대선후보""",0.0,1
Ugx0w0dGTUVUojhE8wp4AaABAg,다 이해 하겠지만...장제원 의원이 예비 비서실장 이라니.....나라가 어찌 될려고....  ㅜㅠ윤당선인도 탄핵 되지 마시고....무사히 임기 마치시길....  ㅜㅠ,0.0,0
UgxOnd05lYkc7oQj4b54AaABAg,우선 과제가 먼지 모르나요 당선인은? 전직대통렁사면 직무실이전 으로 왜 이렇게 피로하게 하죠? 난  오늘하루는 살아구나 싶은데... 내일은 또 암담한데 일국의 대통령이될사람이 민심은뒷전이고...   뭣이중한데정말~~!!  꿈에서 깨어나시길 간절히 바랍니다,0.0,0
UgwwiBoFNg__6KOSWjZ4AaABAg,"회동은 무슨, 무슨 정상회담이냐! 그냥 입닫고 방 빼면 된다!",0.0,0
Ugz07IfKqz5EB-dmj0p4AaABAg,"""장애인이 비장애인을 배려하지 않는데 왜 비장애인은 장애인을 배려해야 하는거죠?""이렇게 보는 관점이 장애인은 불쌍하니까 비장애인이 배려해야 한다는 관점보다 훨씬 두 부류를 동등하게 보는 관점 아닌가요?장애를 가졌다는 것이 몰상식한 행동을 자유롭게 하게 만드는 면죄부가 되어선 안됩니다.",0.0,1
Ugy1FE2zNAHIgC0abjd4AaABAg,갈등유발자 준석이 ㅉㅉ,0.5,0
UgyPApkTK01fW3IK8_F4AaABAg,"갈등을 해결해야 할 정치인이라면 정장연의 방식을 비판하기 전에 어떻게 하면 그들이 시위를 하지 않도록 문제를 빨리 해결할 수 있을까를 고민하고 그 대안을 가지고 전장연을 찾아가서 그들을 설득해야 했다. 그것이 전장연의 시위 때문에 불편함을 겪고 있는 시민들에게도 책임있는 정치인의 모습을 보이는 것일 것이다. 이렇게 장애인과 비장애인을 갈등하게 만들고 싸우게 만들어야 하는가? 이준석은 갈등을 이용한 정치를 하고 있는 것 같다. 논리적인 말을 하지만 그 논리의 전제들이 위험하다. 마치 진시황제를 보는 것 같다. 법이면 다 되는가? 한마디로 논리로 무장한 괴물, 논괴다.",0.0,0
UgxX9d68Y36hOuJ_sy14AaABAg,과거에 장애인들이 훨체어를  타고  부산시청에서 이동권 시위를 했는데 시청에 들어가려고 경사대로 이동했는데 전경2명이 막은 다음 하는말 계단으로 돌아가세요 ㅋㅋㅋ 훨체어 탄사람들에게 극단적인 시위를 하지 않으면 쳐다보지도 안는다는 슬픈사실.,0.0,0
UgxQofWz-_5makCK-eV4AaABAg,나도 장애인지만 타인에게 피해를 주면서까지 시위하는건  비문명적 행위다,0.0,0
Ugx7CoE-rXydkueKMf54AaABAg,"대한민국은 집회결사의 자유가 있고, 그 어떤 데모나 시위나 파업이나 다 다수를 볼모로 자신들의 주장을 관철시키는 민폐인 것은 확실하다....안 그러면 누가 들어주기나 하나..문제는 당 대표가 같은 목적의 발언도 저렇게 표현하면 안된다는 것이다. ""문제 해결을 위해 노력할테니 지하철에서 시위는 자제해 주시길 부탁한다"" 정도 하면 되지 않나?자기 당을 지지하지 않은 단체라서 짜증내는 것인데....그것을 품어주는 것이 품격있는 정치다....이준석아...",0.0,0
UgxgpoFboy5aJS3Rtf14AaABAg,시위하는거  자채자 잘못이라는게 아니라 방법이 잘못됬다는거지,0.0,0
UgyiXmHKCup5CIVYVdh4AaABAg,시위하는건 좋지만 타인에게 불편을 주는건 철저히 단속해야 된다,0.0,0
UgzKwPwpeiD6Z2b6u5N4AaABAg,신체적 장애가 정신적 장애까지 가져온건가? 기본적인 사회규범 무시하고 본인권리를 위해 타인의 권리를 침해하겠다는 생각이 잘못됬다는건 정상인이라면 다 알건데???같은 힘없는 시민 볼모잡을게 아니라 차라리 담당 고위직 공무원 집앞을 틀어막아보던가??? 아 그건 겁나서 만만한 시민잡는중이지??,0.0,1
Ugxfz_FbYHfswtgc-Zl4AaABAg,아니 근데 일단 모든 권력을 쥐고 있는 현정권 그리고 민주당에다 주장해야지 아직 취임도 안한 윤석열에게 왜 요구 하는거야 ??,0.0,1
UgwWFBcPMJCOmqQaJxR4AaABAg,아무리 요구 하는행위에 자유가 있다고 하더라도 다른 사람들을 인질로 잡고 피해를 주는 행위는 절대로 해서는 안될 비 문명적인 행위이다,0.0666666666666666,0
Ugwy7PykMzl0Ne8DElh4AaABAg,이게 비문명적이라앞으로 장애인이 다니는 것도대한민국에 장애인 사는 게도비문명적으로 가겠네이준석 절대 용서 못한다,0.0,0
UgxHcn21c0_QtZJwc454AaABAg,"이준석...... 정치를 배워도 아주 못된것만 골라서 배웠구만..나이도 아직 한창 젊은 사람이 이 정도인데, 그 위에 꼰대들은 안봐도 알겠다.",0.0,1
UgyPRfomXpJMTlIU6s94AaABAg,"이준석아 권리를 누릴수있게 해주고 법을 따져야지. 사회적약자의 권리는 묵살하고 법만 지키라는게 말이야 방구야.국민을 생각하지 못하는게 무슨 공무원을 하겠다고 깝쭉거리는지,,,",0.0,0
UgyQwyC6VAbW-GfCg2N4AaABAg,이준석이 이 상황에 대해서 전장연 가서 요구 수용하고 비난 없었으면 그 사람들은 또 학습했겠지.'아.. 이거 20년 동안 해결 안 되던 것이 이렇게 다른 사람들에게 피해주면서 이슈화하면 해결해주는구나.'그렇게 사회는 퇴보하는 것임. 20년동안이나 외면당한 것은 안타까운 일은 확실함. 하지만 지금같은 지하철 시위는 국민들의 지지를 받지 못하는 행위임은 분명함.,1.0,0
UgxE_8LQ-EmqrfzsZnZ4AaABAg,이준석이야 말로 진짜 정치인 이구만!!!,0.5,0
UgxIriKX5z9gWDtFU_l4AaABAg,자기 하고 싶은거 하고 싶다고 사람들 인생 방해하는건 옳은게 아닙니다. 그게 빈자던 장애인이던 뭐던 안되는 겁니다.,1.0,0
UgzRRGwbWdGS5SMJhTp4AaABAg,장애는  누구나될수있는것입니다장애를가지고싶어하는사람은아무도없지만  살아가면서언제어느때라도  장애가발생할수있는건어쩔수없는일인데  충분히논의할수도있어야하지않나,0.0,0
UgxXrRXnZGVz9X6TDep4AaABAg,장애를 가진 분들을 국가가 최대한 책임져야 한다는건 맞습니다. 근데 장애를 무기삼아 다른 선량한 시민들에게 피해를 주고 시민들의 바쁜 시간을 볼모 삼아 온갖 요구를 합니다. 심지어 그 중엔 장애인들이 삶에 필요한 요구가 맞나 싶은 정치적인 요구들도 있죠. 언제까지 장애를 성역으로 삼고 반대 말 한마디 한마디를 억압할겁니까? 장애를 가졌다고 남의 권리를 함부로 침범해도 괜찮은겁니까?,0.1111111111111111,0
Ugz5f0W4FLqoim0Fgfl4AaABAg,"장애인 이동권 문제가 처음 제기 된게 굉장히 오래되지 않았냐?-> 문재인 정권엔 뭐하다가 이제와서?정권이 바뀌자마자 이동권으로 ""대민폐 시위""를 하는 전장연뭔가 느낌이 오는데 ㅋㅋㅋ",0.0,1
Ugz0eZjGkQg8t65zevh4AaABAg,"장애인은 죄인도 아니고 특권도 아니지만, 주장할 권리는 누구나 있지",0.0,0
Ugx5kFLPjtz-9QjXIRd4AaABAg,장애인이라도 불법시위하면 진압해라장애인도 비장애인이랑 차별없이 대해달라며 다 강경진압해,0.0,1
UgxPuCg2MvOlH2UMJr94AaABAg,전장연 너희들이 하는 시위도 상식적으로 했어야지 몸은 장애라도 맘은 건강했었야 하는데 🤔,1.0,1
UgxnxOE-O3Q8GZj9tgt4AaABAg,"전장연 대표의 인터뷰 중.. 전장연 대표""사람들은 피해를 입히지 않는 착한 장애인을 원한다. 사람들은 자신들에게 피해가 와닿아야 그제서야 우리 목소리를 들어주기 시작한다. 착한 장애인은 개인의 삶을 바꿀 수는 있지만, 나쁜 장애인은 제도를 바꾼다.""",0.0,0
UgxSw4NYrIATwX-36LB4AaABAg,전장연이 자기들의 이동권을요구하면서 다른사람들의이동권을 불법으로 제한하는것은 명백한 불법입니다이준석대표의 불법시위에 대한비판발언은 아주 적절한 발언이라 봅니다이준석대표의 발언이 왜 부적절하다고 합니까자기들의 목적을 위해서는불법도 용인해야 한다는 것입니까불법시위는 지위고하를 막론하고 엄단해야 합니다,0.0,0
UgzA-NA1RYB7PpUh8a94AaABAg,젊은놈이 건방떠네오죽했으면 저럴까?듣는 자세가 필요하다 이놈아설령 불법하다고하지만 사회적 약자입장에서 대변하는 사람이 필요하다너는 집에서 코인이나 해라,0.0,0
UgwXgbFxNeoezRpB-7t4AaABAg,"지하철 타시는 분들의 불편도 이해가 되고, 장애인분들의 절실한 마음도 공감이 되네요. 부디 잘 해결되었으면 좋겠습니다.",0.0,0
UgzALZHTKzcZmmeNa254AaABAg,지하철타는 시민도 사회적 을이자 약자입니다. 언제까지 장애인들이 사회적 약자라는 명목하에 시민들한테까지 피해를 줄껍니까. 게다가 이번에 시위한 단체는 미군철수는 왜 외친건가요?,0.0,0
UgxZKpKXKfd4nA2jQa94AaABAg,"진짜 우리나라 언론, 정치인들은 그들만의 세상에 갖쳐 있는것 같다.이 문제를 그의 모든 국민들이 이준석을 옹호 하고 있는데  보수든 진보든 모든 정치인들이 이를 방송 하는 언론들이국민들의 목소리는 뒤로한체지들끼리 떠들고 있다.",0.0,1
Ugxs9mHXC1zJ93hh08J4AaABAg,진짜 전장연분들 고맙습니다 본인들 덕분에 면접 늦었습니다 진짜 평생 그렇게 고통 받으면서 사세요 당해보니까 알겠드라,0.0434782608695652,1
Ugzp_L6DcIxtny64caF4AaABAg,타인에게 피해를 주는 불법시위는 누구든 법대로 처벌해라!!! 이준석대표의 지극히 상식적인 의견에 서울시민의 한사람으로 적극 공감한다!!!,0.0,0
UgwtFboS89mtdPeL4dZ4AaABAg,2번으로 반드시 정권교체! 거짓말장이는 안되죠. 국민자존심이 상해서.,0.0,0
UgyLpJQY90TjOwYbn6F4AaABAg,부동층이 부동시를 의심하는데해명하면 윤석열 승못하면 이재명 승,0.0,0
Ugy7ktd7Qeb7uZYOXcR4AaABAg,석열이는 언제까지 현정부 까대는걸로만 지지율 얻을거냐...질리네 재명이도 마음에 드는건아닌데 진짜 조금차이로 내마음이 이재명을 찍네 흠.,0.0,0
UgxUm8jHXoJlgxOducB4AaABAg,하루도 아니고한시간도 아니고10분이면 되는일인데공개시력검사를 왜 안할까?,0.0,0
UgwMh7d2yqdwJjXhgQ54AaABAg,1번이재명. 당선,0.1428571428571428,0
Ugx2zZfXLBMwnQa2dXl4AaABAg,감빵을 가냐 안가냐가 걸린문제니 잠이 안오겠지 ㅎㅎ,0.0,0
UgzVtFEjNt4hSovCgA14AaABAg,다 부동산 때문이야....ㅠㅠ,0.0,0
UgwEuzdN3INyfjlVZAJ4AaABAg,다시기득귄세상,0.75,0
